;À;Á;Â;Ã;¥;Ä;Å;ª;Æ;Ç;È;²;¯;É;Ê;Ë;Ì;Í;Î;Ï;Ð;Ñ;Ò;Ó;Ô;Õ;Ö;×;Ø;Ù;Ü;Þ;ß
À;0;0.001;0.003;0.0013;0;0.0019;0;0.0015;0.0008;0.0013;0;0;0.0011;0.0012;0.0028;0.0058;0.0035;0.0073;0;0.001;0.003;0.0034;0.0041;0.0004;0.0001;0.0017;0.0021;0.0011;0.0004;0.0001;0;0.0009;0.0001
Á;0.0014;0;0.0001;0.0001;0;0;0.0013;0.0002;0;0;0.0007;0.0011;0;0;0.0001;0.001;0.0002;0.0009;0.0014;0;0.0006;0.0004;0.0001;0.0029;0;0.0002;0;0;0.0001;0;0;0;0
Â;0.0068;0;0.0002;0;0;0.0008;0.0017;0;0.0004;0.0002;0.0075;0.0052;0;0;0.0004;0.0013;0.0001;0.003;0.0052;0.0004;0.0002;0.0016;0.0003;0.001;0;0.0001;0.0001;0.0003;0.0001;0;0;0;0.0008
Ã;0.002;0;0;0;0;0;0.0002;0;0;0;0.0003;0.0007;0;0;0.0001;0.0009;0;0.0003;0.0063;0;0.0012;0;0;0.0005;0;0.0001;0;0;0;0;0;0;0
¥;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0001;0;0;0;0;0;0;0;0;0;0;0;0
Ä;0.0021;0.0003;0.0005;0.0001;0;0.0001;0.0019;0;0.0008;0.0001;0.0022;0.0019;0;0;0.0006;0.0009;0.0002;0.0029;0.0053;0.0005;0.0008;0.0003;0.0001;0.0021;0;0.0001;0;0.0002;0;0;0.0001;0;0.0003
Å;0.0003;0.0004;0.0009;0.0006;0;0.0016;0;0;0.001;0.0013;0;0;0.0001;0.0005;0.0027;0.0014;0.0024;0.007;0.0008;0.0007;0.0087;0.0014;0.0015;0;0.0002;0.0006;0.0006;0.0004;0.0001;0;0;0.0001;0.0001
ª;0;0;0.0001;0;0;0.0002;0;0;0;0;0;0;0.0002;0;0.0001;0;0.0005;0.0001;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0003;0
Æ;0.0008;0;0;0;0;0.0001;0.0021;0;0;0;0.0007;0.0002;0;0;0.0001;0.0004;0;0.0009;0.0002;0;0;0;0;0.0005;0;0;0.0001;0;0;0;0;0;0
Ç;0.0051;0.0009;0.0013;0.0002;0;0.0004;0.0004;0;0;0;0.0005;0.0005;0;0;0.0004;0.0004;0.0007;0.0022;0.0009;0.0005;0.0006;0.0001;0;0.0008;0;0;0;0;0;0;0.0004;0;0.0002
È;0;0.0003;0.003;0.0003;0;0.0007;0;0.0002;0.0001;0.0008;0;0;0.0002;0.0025;0.0028;0.0016;0.0034;0.0033;0;0.0007;0.0017;0.0043;0.0031;0;0.0001;0.0052;0.0012;0.0018;0.0004;0.0006;0;0;0.0004
²;0.0003;0.0005;0.0046;0.0004;0;0.0047;0;0.0004;0.0004;0.0017;0;0;0.0023;0.0022;0.001;0.0022;0.0005;0.0033;0.0003;0.0001;0.0007;0.0022;0.0015;0;0.0001;0.0003;0.0001;0.001;0.0008;0.0001;0;0.0004;0.0009
¯;0;0;0.0002;0;0;0;0;0;0;0;0;0;0.0007;0;0.0002;0;0.0002;0.0009;0;0;0;0;0;0;0;0.0005;0;0;0;0;0;0;0
É;0;0.0002;0.0001;0;0;0.0002;0;0;0;0;0;0;0;0;0.0001;0.0002;0.0001;0.0009;0.0005;0;0;0.0008;0.0001;0;0;0;0;0;0.0001;0;0;0;0
Ê;0.0035;0;0.0011;0;0;0;0.0003;0;0;0;0.0046;0.0024;0;0;0;0.0011;0;0.0006;0.0096;0;0.0025;0.0004;0.0017;0.0023;0;0;0.0008;0;0;0.0001;0;0;0
Ë;0.0037;0;0;0.0001;0;0.0002;0.003;0;0;0.0001;0.0048;0.003;0;0;0.0002;0;0;0.0001;0.0033;0;0;0;0.0001;0.0008;0;0;0;0;0;0;0.0044;0.001;0.0023
Ì;0.004;0;0.0001;0;0;0;0.0024;0;0.0001;0;0.0047;0.0025;0;0;0.0004;0.0002;0;0.0005;0.0046;0.001;0.0001;0.0003;0;0.0026;0;0;0;0.0008;0;0;0;0;0.0002
Í;0.0118;0;0.0001;0;0;0.0004;0.0044;0.0001;0;0.0001;0.0089;0.0061;0;0;0.001;0;0;0.0061;0.0115;0;0;0.0018;0.0021;0.002;0.0008;0;0.0005;0.0001;0.0005;0;0.0013;0.0005;0.0056
Î;0;0.0044;0.009;0.006;0;0.0051;0.0002;0.0003;0.0018;0.0024;0;0;0.0036;0.0002;0.0022;0.0031;0.007;0.0048;0.0001;0.0017;0.0064;0.0057;0.0021;0.0001;0.0002;0.0007;0.0008;0.0013;0.0005;0.0001;0;0.0022;0.0002
Ï;0.0012;0;0;0;0;0.0001;0.0033;0;0;0.0001;0.0011;0.0022;0;0;0;0.0015;0;0.0001;0.007;0;0.0071;0.0002;0.0001;0.0004;0;0;0.0001;0;0;0;0;0.0006;0.0001
Ð;0.0065;0.0001;0.0004;0.0005;0;0.0001;0.0056;0;0.0004;0.0002;0.0057;0.0033;0.0001;0;0.0013;0;0.0017;0.0014;0.0095;0.0001;0;0.0007;0.0007;0.0021;0;0.0003;0.0001;0;0.0005;0;0.0002;0.0002;0.0007
Ñ;0.0008;0;0.0013;0;0;0;0.001;0;0;0;0.0021;0.0011;0;0;0.0014;0.0019;0.0001;0.0019;0.0015;0.002;0;0;0.0115;0.0018;0.0002;0.0002;0.0004;0;0;0;0.0038;0;0.0033
Ò;0.0065;0;0.0023;0;0;0;0.0057;0.0001;0.0001;0;0.007;0.0032;0;0;0.0008;0.0001;0;0.0013;0.0051;0;0.0028;0.0002;0.0005;0.0022;0;0;0.0001;0;0;0;0.005;0.0002;0.0005
Ó;0.0002;0.0002;0.0021;0.0006;0;0.0016;0;0.0006;0.0004;0.0003;0;0;0;0.0001;0.0025;0.0015;0.0009;0.0007;0;0.0008;0.0011;0.0012;0.0017;0;0;0.0002;0;0.0006;0.0001;0.0001;0;0.0006;0
Ô;0.0004;0;0;0;0;0;0.0003;0;0;0;0;0.0005;0;0;0;0;0;0;0.0014;0;0.0003;0;0;0.0003;0;0;0;0;0;0;0;0;0
Õ;0.0007;0;0.0001;0;0;0.0001;0;0;0;0;0.0002;0.0007;0;0;0;0;0;0.0005;0.0014;0;0.0003;0;0.0001;0.0002;0;0;0;0;0;0;0;0;0
Ö;0.0002;0;0;0;0;0;0.0027;0;0;0;0.0003;0.0042;0;0;0;0.0001;0;0.0001;0.0001;0;0;0;0.0007;0;0;0;0.0001;0;0;0;0.0007;0.0002;0.0005
×;0.0024;0;0;0;0;0;0.0015;0;0;0;0.0022;0.0003;0;0;0.0001;0.0001;0;0.0031;0.0004;0;0;0;0;0.0003;0;0;0;0.0001;0;0;0;0;0.0001
Ø;0.0003;0;0.0001;0;0;0;0.0009;0;0;0;0.001;0.0004;0;0;0.0002;0.0002;0;0.0004;0.0005;0;0;0;0.0003;0.0003;0;0;0;0;0.0001;0;0;0;0
Ù;0.0001;0;0;0;0;0;0.0006;0;0;0;0.0001;0.0001;0;0;0;0;0;0;0.0028;0;0;0;0;0.0001;0;0;0;0;0;0;0;0;0
Ü;0;0.0003;0;0;0;0;0;0;0;0;0;0;0;0;0.0042;0;0.0002;0.0021;0.0015;0;0;0.0019;0.0004;0;0;0;0;0;0.0005;0;0;0;0
Þ;0;0;0.0005;0;0;0.0003;0;0.0003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0022;0;0;0;0;0.0006;0;0;0;0.0002;0
ß;0;0;0.0006;0.0005;0;0.0005;0;0.0002;0.0002;0.0006;0;0;0;0;0.0024;0.0002;0.001;0.0008;0;0;0.0002;0.0002;0.0009;0;0;0.0004;0;0.0001;0;0;0;0.0001;0
